('I', 'O', 'E', 'A', 'D', 'U', 'G', 'F', 'P') ('S', 'N', 'T', 'H', 'L', 'C', 'W', 'R', 'M') 3407234561
('H', 'R', 'I', 'N', 'C', 'G', 'P', 'W', 'F') ('E', 'S', 'A', 'T', 'D', 'O', 'U', 'L', 'M') 2859192279
('S', 'H', 'A', 'N', 'D', 'G', 'U', 'P', 'W') ('I', 'T', 'E', 'R', 'M', 'O', 'F', 'L', 'C') 2859101159
('I', 'S', 'H', 'A', 'G', 'D', 'M', 'W', 'F') ('N', 'T', 'E', 'R', 'P', 'O', 'U', 'L', 'C') 2859042558
('H', 'S', 'A', 'N', 'C', 'G', 'P', 'M', 'W') ('I', 'T', 'E', 'R', 'D', 'O', 'U', 'L', 'F') 2859025510
('A', 'H', 'O', 'R', 'F', 'D', 'G', 'P', 'W') ('S', 'T', 'I', 'N', 'C', 'E', 'U', 'L', 'M') 2858984213
('R', 'H', 'O', 'N', 'U', 'D', 'G', 'C', 'M') ('E', 'S', 'A', 'T', 'L', 'I', 'F', 'P', 'W') 2858898873
('S', 'H', 'O', 'N', 'L', 'U', 'W', 'F', 'P') ('A', 'T', 'E', 'R', 'M', 'I', 'G', 'D', 'C') 2858884255
('I', 'H', 'A', 'R', 'D', 'F', 'G', 'M', 'W') ('O', 'E', 'S', 'T', 'U', 'N', 'P', 'L', 'C') 2858754030
('R', 'H', 'O', 'N', 'U', 'G', 'W', 'C', 'L') ('E', 'S', 'A', 'T', 'D', 'I', 'P', 'M', 'F') 2858514656
('I', 'O', 'H', 'A', 'G', 'L', 'W', 'F', 'P') ('T', 'S', 'E', 'R', 'D', 'U', 'C', 'N', 'M') 2858465244
('H', 'R', 'A', 'N', 'C', 'G', 'P', 'M', 'F') ('I', 'T', 'E', 'S', 'D', 'O', 'U', 'L', 'W') 2858404174
('O', 'H', 'I', 'N', 'D', 'G', 'W', 'F', 'M') ('A', 'T', 'R', 'E', 'L', 'S', 'C', 'U', 'P') 2858335952
('S', 'H', 'O', 'N', 'U', 'G', 'P', 'L', 'F') ('A', 'T', 'E', 'R', 'M', 'I', 'W', 'D', 'C') 2858299977
('S', 'H', 'O', 'R', 'F', 'P', 'C', 'L', 'M') ('A', 'T', 'I', 'N', 'G', 'E', 'U', 'D', 'W') 2858219269
('R', 'H', 'I', 'S', 'D', 'P', 'G', 'F', 'M') ('E', 'T', 'A', 'N', 'W', 'O', 'U', 'L', 'C') 2857995868
('S', 'H', 'O', 'R', 'U', 'D', 'W', 'F', 'C') ('E', 'T', 'I', 'N', 'G', 'A', 'P', 'L', 'M') 2857936583
('R', 'N', 'S', 'H', 'P', 'D', 'C', 'U', 'F') ('I', 'A', 'T', 'E', 'O', 'L', 'M', 'G', 'W') 2857793918
('O', 'H', 'I', 'S', 'L', 'U', 'F', 'M', 'G') ('T', 'A', 'R', 'E', 'D', 'N', 'C', 'P', 'W') 2857738158
('R', 'H', 'I', 'S', 'L', 'U', 'W', 'M', 'G') ('E', 'T', 'A', 'N', 'D', 'O', 'P', 'C', 'F') 2857695491
('I', 'H', 'A', 'R', 'D', 'U', 'P', 'G', 'W') ('O', 'E', 'S', 'T', 'F', 'N', 'C', 'L', 'M') 2857572322
('R', 'S', 'H', 'A', 'C', 'L', 'M', 'P', 'W') ('E', 'T', 'I', 'N', 'D', 'O', 'G', 'U', 'F') 2857480118
('R', 'H', 'O', 'N', 'F', 'P', 'W', 'M', 'L') ('E', 'S', 'A', 'T', 'D', 'I', 'U', 'C', 'G') 2857462134
('S', 'H', 'O', 'N', 'U', 'D', 'G', 'C', 'W') ('A', 'T', 'E', 'R', 'M', 'I', 'P', 'L', 'F') 2857453003
('R', 'H', 'I', 'S', 'D', 'U', 'P', 'M', 'W') ('E', 'T', 'A', 'N', 'C', 'O', 'G', 'L', 'F') 2857380648
('S', 'H', 'O', 'R', 'P', 'D', 'G', 'M', 'W') ('A', 'T', 'I', 'N', 'C', 'E', 'U', 'L', 'F') 2857277974
('A', 'H', 'I', 'S', 'L', 'U', 'W', 'G', 'P') ('T', 'O', 'R', 'E', 'D', 'N', 'M', 'F', 'C') 2857276763
('H', 'N', 'R', 'S', 'P', 'L', 'W', 'F', 'M') ('E', 'A', 'T', 'I', 'O', 'D', 'G', 'C', 'U') 2857233704
('S', 'H', 'A', 'R', 'P', 'U', 'F', 'L', 'W') ('E', 'T', 'I', 'N', 'D', 'O', 'G', 'C', 'M') 2857202755
('I', 'H', 'A', 'R', 'L', 'U', 'W', 'M', 'G') ('E', 'O', 'S', 'T', 'D', 'N', 'F', 'P', 'C') 2857179343
('O', 'H', 'A', 'R', 'L', 'U', 'W', 'C', 'P') ('S', 'T', 'I', 'N', 'D', 'E', 'G', 'F', 'M') 2857161990
('H', 'S', 'A', 'N', 'G', 'U', 'P', 'L', 'W') ('I', 'T', 'E', 'R', 'M', 'O', 'F', 'D', 'C') 2857030425
('S', 'H', 'O', 'R', 'F', 'P', 'G', 'L', 'M') ('A', 'T', 'I', 'N', 'D', 'E', 'U', 'C', 'W') 2856989403
('O', 'H', 'A', 'S', 'M', 'F', 'W', 'D', 'P') ('R', 'T', 'I', 'N', 'G', 'E', 'U', 'L', 'C') 2856765351
('R', 'S', 'H', 'A', 'G', 'L', 'M', 'P', 'F') ('E', 'T', 'I', 'N', 'D', 'O', 'U', 'C', 'W') 2856739200
('I', 'H', 'A', 'R', 'L', 'U', 'G', 'C', 'P') ('E', 'O', 'S', 'T', 'D', 'N', 'F', 'M', 'W') 2856706845
('R', 'H', 'A', 'N', 'D', 'G', 'U', 'F', 'W') ('O', 'T', 'E', 'S', 'M', 'I', 'P', 'L', 'C') 2856546110
('A', 'S', 'O', 'R', 'M', 'P', 'G', 'F', 'W') ('E', 'T', 'I', 'N', 'D', 'H', 'U', 'L', 'C') 2856212919
('H', 'I', 'O', 'R', 'U', 'D', 'G', 'F', 'C') ('E', 'A', 'S', 'T', 'P', 'N', 'W', 'L', 'M') 2856194410
('O', 'H', 'A', 'N', 'F', 'G', 'W', 'C', 'P') ('T', 'S', 'E', 'R', 'D', 'I', 'U', 'L', 'M') 2856104567
('H', 'O', 'I', 'N', 'G', 'U', 'F', 'C', 'M') ('A', 'T', 'R', 'E', 'L', 'S', 'D', 'W', 'P') 2856077158
('R', 'H', 'O', 'N', 'U', 'G', 'W', 'M', 'L') ('E', 'S', 'A', 'T', 'D', 'I', 'F', 'C', 'P') 2855890078
('S', 'H', 'O', 'R', 'F', 'D', 'G', 'M', 'W') ('A', 'T', 'I', 'N', 'L', 'E', 'U', 'C', 'P') 2855846527
('S', 'H', 'A', 'R', 'D', 'P', 'F', 'G', 'W') ('E', 'T', 'I', 'N', 'C', 'O', 'U', 'L', 'M') 2855715719
('H', 'R', 'O', 'N', 'W', 'D', 'G', 'C', 'P') ('A', 'T', 'E', 'S', 'M', 'I', 'U', 'L', 'F') 2855622481
('S', 'H', 'A', 'R', 'P', 'U', 'F', 'C', 'W') ('E', 'T', 'I', 'N', 'D', 'O', 'G', 'L', 'M') 2855224007
('O', 'H', 'A', 'R', 'L', 'U', 'F', 'M', 'G') ('T', 'S', 'I', 'N', 'D', 'E', 'W', 'C', 'P') 2855025109
('R', 'H', 'I', 'N', 'D', 'G', 'U', 'P', 'W') ('E', 'S', 'A', 'T', 'L', 'O', 'F', 'C', 'M') 2854955913
('I', 'O', 'H', 'A', 'G', 'L', 'M', 'F', 'W') ('T', 'S', 'E', 'R', 'D', 'U', 'P', 'N', 'C') 2854883676
('O', 'I', 'H', 'A', 'U', 'C', 'W', 'F', 'G') ('E', 'R', 'S', 'T', 'D', 'N', 'P', 'L', 'M') 2854827955
('S', 'H', 'O', 'R', 'F', 'G', 'W', 'M', 'L') ('A', 'T', 'I', 'N', 'D', 'E', 'U', 'C', 'P') 2854782747
('S', 'H', 'O', 'N', 'U', 'D', 'G', 'M', 'P') ('A', 'T', 'E', 'R', 'L', 'I', 'F', 'C', 'W') 2854743936
('R', 'H', 'N', 'S', 'U', 'L', 'M', 'P', 'F') ('E', 'I', 'A', 'T', 'D', 'O', 'G', 'C', 'W') 2854731062
('O', 'H', 'A', 'R', 'L', 'U', 'W', 'M', 'G') ('T', 'S', 'I', 'N', 'D', 'E', 'F', 'C', 'P') 2854626499
('S', 'H', 'O', 'R', 'M', 'P', 'G', 'L', 'W') ('A', 'T', 'I', 'N', 'D', 'E', 'U', 'C', 'F') 2854548298
('R', 'H', 'A', 'S', 'L', 'U', 'F', 'G', 'P') ('E', 'T', 'I', 'N', 'D', 'O', 'W', 'C', 'M') 2854486842
('O', 'H', 'I', 'S', 'M', 'U', 'W', 'D', 'P') ('T', 'A', 'R', 'E', 'C', 'N', 'L', 'F', 'G') 2854458461
('O', 'H', 'A', 'S', 'L', 'U', 'W', 'F', 'G') ('E', 'T', 'I', 'N', 'D', 'R', 'P', 'M', 'C') 2854365598
('I', 'H', 'O', 'R', 'F', 'D', 'P', 'C', 'W') ('E', 'A', 'S', 'T', 'U', 'N', 'M', 'L', 'G') 2854335789
('R', 'H', 'O', 'N', 'U', 'G', 'P', 'L', 'C') ('E', 'S', 'A', 'T', 'D', 'I', 'F', 'M', 'W') 2854139064
('R', 'N', 'S', 'H', 'L', 'D', 'G', 'U', 'F') ('E', 'I', 'A', 'T', 'P', 'O', 'W', 'C', 'M') 2854135581
('S', 'H', 'O', 'N', 'U', 'D', 'W', 'F', 'P') ('A', 'T', 'E', 'R', 'M', 'I', 'G', 'L', 'C') 2854134642
('R', 'H', 'A', 'N', 'D', 'U', 'G', 'M', 'P') ('I', 'T', 'E', 'S', 'L', 'O', 'W', 'C', 'F') 2854018931
('R', 'N', 'S', 'H', 'P', 'G', 'F', 'L', 'M') ('E', 'O', 'A', 'T', 'D', 'I', 'U', 'C', 'W') 2853926090
('O', 'H', 'I', 'N', 'D', 'U', 'G', 'F', 'W') ('A', 'T', 'R', 'E', 'L', 'S', 'M', 'P', 'C') 2853822896
('O', 'H', 'A', 'R', 'L', 'F', 'W', 'M', 'C') ('E', 'I', 'S', 'T', 'U', 'N', 'P', 'D', 'G') 2853747454
('H', 'I', 'O', 'R', 'U', 'D', 'P', 'F', 'C') ('E', 'A', 'S', 'T', 'G', 'N', 'M', 'L', 'W') 2853745333
('I', 'H', 'A', 'R', 'L', 'F', 'G', 'C', 'W') ('O', 'E', 'S', 'T', 'U', 'N', 'M', 'P', 'D') 2853521411
('R', 'H', 'A', 'N', 'D', 'G', 'F', 'P', 'W') ('O', 'T', 'E', 'S', 'M', 'I', 'U', 'L', 'C') 2853397652
('H', 'S', 'A', 'R', 'G', 'U', 'F', 'C', 'W') ('E', 'T', 'I', 'N', 'D', 'O', 'P', 'L', 'M') 2853330877
('O', 'H', 'I', 'N', 'M', 'G', 'W', 'C', 'P') ('T', 'S', 'E', 'R', 'D', 'A', 'U', 'L', 'F') 2853285198
('O', 'A', 'H', 'I', 'F', 'L', 'M', 'P', 'W') ('T', 'S', 'E', 'R', 'D', 'U', 'G', 'N', 'C') 2853163068
('O', 'H', 'I', 'S', 'L', 'F', 'W', 'C', 'G') ('T', 'A', 'R', 'E', 'D', 'N', 'M', 'P', 'U') 2853063722
('H', 'I', 'O', 'R', 'U', 'C', 'P', 'L', 'M') ('A', 'N', 'T', 'E', 'S', 'D', 'W', 'G', 'F') 2852783552
('O', 'H', 'A', 'R', 'L', 'U', 'F', 'C', 'P') ('S', 'T', 'I', 'N', 'D', 'E', 'G', 'W', 'M') 2852737404
('S', 'H', 'O', 'R', 'F', 'U', 'C', 'L', 'M') ('E', 'T', 'I', 'N', 'D', 'A', 'G', 'W', 'P') 2852495463
('H', 'R', 'I', 'S', 'C', 'W', 'F', 'D', 'G') ('E', 'T', 'A', 'N', 'P', 'O', 'U', 'L', 'M') 2852414302
('O', 'H', 'A', 'R', 'L', 'F', 'P', 'M', 'C') ('E', 'I', 'S', 'T', 'U', 'N', 'W', 'D', 'G') 2852233085
('I', 'H', 'A', 'S', 'M', 'U', 'F', 'G', 'P') ('N', 'T', 'E', 'R', 'D', 'O', 'W', 'L', 'C') 2852208072
('O', 'H', 'I', 'S', 'L', 'P', 'W', 'C', 'F') ('T', 'A', 'R', 'E', 'D', 'N', 'M', 'U', 'G') 2852076608
('S', 'H', 'A', 'R', 'P', 'U', 'F', 'C', 'G') ('E', 'T', 'I', 'N', 'D', 'O', 'W', 'L', 'M') 2851889055
('H', 'O', 'I', 'N', 'G', 'U', 'W', 'C', 'M') ('A', 'T', 'R', 'E', 'L', 'S', 'D', 'F', 'P') 2851752460
('S', 'H', 'O', 'R', 'U', 'D', 'G', 'F', 'M') ('E', 'T', 'I', 'N', 'W', 'A', 'P', 'L', 'C') 2851736346
('S', 'H', 'O', 'R', 'F', 'U', 'G', 'C', 'L') ('E', 'T', 'I', 'N', 'D', 'A', 'P', 'M', 'W') 2851630526
('S', 'H', 'O', 'N', 'D', 'G', 'W', 'F', 'M') ('A', 'T', 'E', 'R', 'P', 'I', 'U', 'L', 'C') 2851411860
('R', 'H', 'A', 'N', 'G', 'U', 'F', 'C', 'P') ('I', 'T', 'E', 'S', 'M', 'O', 'W', 'D', 'L') 2851351789
('O', 'H', 'I', 'S', 'D', 'F', 'W', 'C', 'G') ('A', 'N', 'R', 'E', 'L', 'T', 'M', 'P', 'U') 2851315538
('R', 'H', 'O', 'N', 'U', 'G', 'C', 'F', 'L') ('E', 'S', 'A', 'T', 'D', 'I', 'P', 'M', 'W') 2851297946
('S', 'H', 'O', 'R', 'U', 'D', 'G', 'M', 'W') ('E', 'T', 'I', 'N', 'C', 'A', 'P', 'L', 'F') 2851265942
('R', 'H', 'A', 'N', 'D', 'G', 'U', 'M', 'W') ('I', 'T', 'E', 'S', 'C', 'O', 'P', 'L', 'F') 2851256195
('O', 'R', 'A', 'S', 'M', 'U', 'W', 'G', 'P') ('E', 'T', 'I', 'N', 'D', 'H', 'F', 'L', 'C') 2851189004
('I', 'S', 'H', 'A', 'C', 'M', 'F', 'W', 'P') ('T', 'O', 'R', 'E', 'D', 'N', 'L', 'U', 'G') 2850976041
('H', 'I', 'S', 'A', 'U', 'C', 'W', 'G', 'F') ('N', 'T', 'E', 'R', 'D', 'O', 'P', 'L', 'M') 2850844232
('H', 'O', 'A', 'N', 'G', 'U', 'F', 'C', 'W') ('T', 'S', 'E', 'R', 'D', 'I', 'P', 'L', 'M') 2850743481
('O', 'H', 'I', 'S', 'L', 'P', 'G', 'F', 'M') ('T', 'A', 'R', 'E', 'D', 'N', 'C', 'U', 'W') 2850684911
('I', 'H', 'O', 'R', 'F', 'D', 'G', 'C', 'W') ('E', 'A', 'S', 'T', 'U', 'N', 'P', 'L', 'M') 2850675832
('A', 'H', 'I', 'S', 'M', 'U', 'W', 'C', 'G') ('T', 'O', 'R', 'E', 'D', 'N', 'L', 'P', 'F') 2850655475
('S', 'H', 'O', 'R', 'U', 'P', 'G', 'C', 'L') ('E', 'T', 'I', 'N', 'D', 'A', 'W', 'F', 'M') 2850567498
('O', 'H', 'A', 'R', 'L', 'U', 'P', 'M', 'C') ('S', 'T', 'I', 'N', 'D', 'E', 'G', 'F', 'W') 2850512601
('R', 'N', 'S', 'H', 'P', 'D', 'W', 'U', 'L') ('I', 'E', 'A', 'T', 'F', 'O', 'G', 'C', 'M') 2850491562
('R', 'H', 'O', 'N', 'U', 'P', 'W', 'M', 'L') ('E', 'S', 'A', 'T', 'D', 'I', 'F', 'C', 'G') 2850096929
('I', 'H', 'A', 'R', 'P', 'U', 'F', 'C', 'G') ('E', 'O', 'S', 'T', 'D', 'N', 'M', 'L', 'W') 2849788405
('S', 'H', 'O', 'N', 'U', 'G', 'W', 'F', 'L') ('A', 'T', 'E', 'R', 'M', 'I', 'P', 'D', 'C') 2849507246
('H', 'I', 'O', 'R', 'U', 'C', 'G', 'L', 'W') ('E', 'A', 'S', 'T', 'D', 'N', 'P', 'M', 'F') 2849193094
('R', 'H', 'I', 'N', 'G', 'U', 'W', 'F', 'M') ('E', 'A', 'S', 'T', 'O', 'L', 'D', 'C', 'P') 2849097586
('O', 'H', 'A', 'S', 'M', 'U', 'W', 'C', 'G') ('E', 'T', 'I', 'N', 'D', 'R', 'P', 'L', 'F') 2849034063
('R', 'N', 'S', 'H', 'W', 'G', 'C', 'L', 'F') ('I', 'A', 'T', 'E', 'O', 'D', 'M', 'P', 'U') 2848794294
('R', 'H', 'I', 'S', 'D', 'U', 'W', 'F', 'G') ('E', 'T', 'A', 'N', 'M', 'O', 'P', 'L', 'C') 2848781901
('S', 'H', 'A', 'R', 'L', 'P', 'G', 'C', 'W') ('E', 'T', 'I', 'N', 'D', 'O', 'U', 'M', 'F') 2848781824
('A', 'H', 'I', 'S', 'D', 'W', 'P', 'M', 'G') ('T', 'O', 'R', 'E', 'C', 'N', 'L', 'U', 'F') 2848409554
('R', 'H', 'I', 'S', 'L', 'P', 'W', 'C', 'F') ('E', 'T', 'A', 'N', 'D', 'O', 'G', 'U', 'M') 2847977064
('S', 'R', 'O', 'N', 'M', 'G', 'W', 'F', 'P') ('E', 'A', 'T', 'H', 'D', 'L', 'C', 'I', 'U') 2847809746
('R', 'H', 'O', 'N', 'U', 'G', 'L', 'F', 'M') ('E', 'S', 'A', 'T', 'D', 'I', 'P', 'C', 'W') 2847765445
('R', 'H', 'O', 'N', 'U', 'D', 'W', 'F', 'C') ('E', 'S', 'A', 'T', 'L', 'I', 'P', 'M', 'G') 2847503082
('H', 'S', 'A', 'R', 'G', 'P', 'F', 'C', 'M') ('E', 'T', 'I', 'N', 'D', 'O', 'U', 'L', 'W') 2847493607
('H', 'I', 'O', 'R', 'U', 'C', 'P', 'L', 'G') ('E', 'A', 'S', 'T', 'D', 'N', 'F', 'M', 'W') 2847303345
('I', 'R', 'H', 'A', 'C', 'L', 'M', 'W', 'G') ('O', 'E', 'N', 'T', 'U', 'S', 'F', 'D', 'P') 2847294855
('H', 'N', 'R', 'S', 'M', 'D', 'W', 'G', 'C') ('I', 'A', 'T', 'E', 'O', 'L', 'P', 'U', 'F') 2847262944
('S', 'H', 'O', 'N', 'U', 'G', 'P', 'L', 'W') ('A', 'T', 'E', 'R', 'M', 'I', 'F', 'D', 'C') 2847241718
('O', 'I', 'H', 'A', 'P', 'M', 'G', 'C', 'W') ('T', 'S', 'E', 'R', 'D', 'U', 'F', 'N', 'L') 2847198394
('O', 'S', 'A', 'R', 'F', 'U', 'P', 'W', 'G') ('E', 'T', 'I', 'N', 'D', 'H', 'M', 'L', 'C') 2847020113
('O', 'H', 'I', 'S', 'M', 'P', 'W', 'D', 'G') ('T', 'A', 'R', 'E', 'C', 'N', 'L', 'U', 'F') 2847005516
('R', 'H', 'I', 'S', 'L', 'P', 'G', 'F', 'M') ('E', 'T', 'A', 'N', 'D', 'O', 'U', 'C', 'W') 2846995188
('R', 'N', 'S', 'H', 'W', 'G', 'F', 'L', 'M') ('E', 'O', 'A', 'T', 'D', 'I', 'U', 'C', 'P') 2846835137
('O', 'H', 'A', 'S', 'L', 'U', 'W', 'M', 'F') ('T', 'I', 'R', 'E', 'D', 'N', 'C', 'P', 'G') 2846505425
('I', 'H', 'A', 'R', 'D', 'F', 'P', 'G', 'W') ('O', 'E', 'S', 'T', 'U', 'N', 'L', 'C', 'M') 2846488842
('I', 'H', 'O', 'R', 'L', 'P', 'W', 'C', 'M') ('A', 'E', 'S', 'T', 'U', 'N', 'F', 'D', 'G') 2846329954
('O', 'H', 'A', 'N', 'M', 'U', 'G', 'F', 'P') ('T', 'S', 'E', 'R', 'D', 'I', 'W', 'C', 'L') 2846235916
('R', 'N', 'S', 'H', 'P', 'G', 'C', 'D', 'F') ('I', 'A', 'T', 'E', 'O', 'L', 'M', 'U', 'W') 2846225964
('O', 'H', 'I', 'S', 'D', 'U', 'P', 'W', 'G') ('A', 'N', 'R', 'E', 'L', 'T', 'M', 'C', 'F') 2846171766
('S', 'H', 'O', 'R', 'U', 'G', 'W', 'M', 'L') ('E', 'T', 'I', 'N', 'D', 'A', 'P', 'C', 'F') 2845844477
('I', 'R', 'H', 'A', 'C', 'L', 'M', 'P', 'G') ('O', 'E', 'N', 'T', 'U', 'S', 'F', 'D', 'W') 2845826607
('R', 'H', 'I', 'S', 'M', 'U', 'F', 'C', 'G') ('E', 'T', 'A', 'N', 'D', 'O', 'P', 'L', 'W') 2845548589
('I', 'O', 'H', 'A', 'G', 'M', 'P', 'U', 'W') ('T', 'S', 'E', 'R', 'D', 'C', 'F', 'N', 'L') 2845413736
('I', 'R', 'H', 'A', 'C', 'L', 'M', 'P', 'W') ('O', 'E', 'S', 'T', 'U', 'N', 'F', 'D', 'G') 2845183051
('O', 'H', 'A', 'S', 'L', 'U', 'F', 'M', 'P') ('E', 'T', 'I', 'N', 'G', 'D', 'C', 'R', 'W') 2844992571
('H', 'I', 'O', 'R', 'U', 'D', 'P', 'M', 'G') ('E', 'A', 'S', 'T', 'C', 'N', 'F', 'L', 'W') 2844813059
('S', 'H', 'O', 'N', 'U', 'D', 'G', 'F', 'P') ('A', 'T', 'E', 'R', 'M', 'I', 'W', 'L', 'C') 2844530206
('I', 'H', 'A', 'R', 'L', 'U', 'P', 'M', 'W') ('E', 'O', 'S', 'T', 'D', 'N', 'F', 'C', 'G') 2844425267
('O', 'H', 'A', 'N', 'M', 'G', 'F', 'C', 'W') ('S', 'T', 'E', 'R', 'P', 'I', 'U', 'D', 'L') 2844282435
('R', 'H', 'I', 'S', 'L', 'U', 'W', 'F', 'G') ('E', 'T', 'A', 'N', 'D', 'O', 'P', 'M', 'C') 2844157577
('S', 'H', 'A', 'R', 'D', 'P', 'G', 'M', 'W') ('E', 'T', 'I', 'N', 'C', 'O', 'U', 'L', 'F') 2843920436
('R', 'H', 'O', 'N', 'F', 'U', 'P', 'L', 'M') ('E', 'S', 'A', 'T', 'D', 'I', 'G', 'C', 'W') 2843895077
('R', 'H', 'I', 'S', 'M', 'U', 'F', 'C', 'P') ('E', 'T', 'A', 'N', 'D', 'O', 'G', 'L', 'W') 2843874515
('I', 'H', 'O', 'R', 'L', 'P', 'G', 'C', 'W') ('E', 'A', 'S', 'T', 'U', 'N', 'F', 'M', 'D') 2843850037
('A', 'H', 'I', 'S', 'M', 'U', 'W', 'F', 'P') ('N', 'T', 'E', 'R', 'D', 'O', 'G', 'L', 'C') 2843775076
('R', 'H', 'I', 'S', 'L', 'U', 'W', 'F', 'P') ('E', 'T', 'A', 'N', 'D', 'O', 'G', 'C', 'M') 2843429189
('H', 'I', 'O', 'R', 'U', 'C', 'P', 'L', 'W') ('E', 'A', 'S', 'T', 'D', 'N', 'F', 'M', 'G') 2843205454
('R', 'H', 'A', 'N', 'L', 'G', 'W', 'M', 'P') ('I', 'T', 'E', 'S', 'C', 'O', 'U', 'D', 'F') 2843061591
('R', 'N', 'S', 'H', 'L', 'G', 'M', 'U', 'F') ('E', 'I', 'A', 'T', 'C', 'O', 'W', 'D', 'P') 2842933524
('H', 'R', 'I', 'S', 'L', 'W', 'G', 'C', 'F') ('E', 'T', 'A', 'N', 'D', 'O', 'U', 'M', 'P') 2842840377
('O', 'H', 'A', 'S', 'L', 'F', 'W', 'M', 'G') ('T', 'R', 'I', 'N', 'D', 'E', 'U', 'C', 'P') 2842830707
('O', 'R', 'H', 'I', 'C', 'L', 'M', 'U', 'F') ('A', 'N', 'T', 'E', 'S', 'D', 'P', 'G', 'W') 2842808850
('O', 'H', 'A', 'R', 'M', 'U', 'F', 'L', 'W') ('T', 'S', 'I', 'N', 'D', 'E', 'G', 'C', 'P') 2842743240
('R', 'H', 'I', 'S', 'L', 'P', 'W', 'C', 'G') ('E', 'T', 'A', 'N', 'D', 'O', 'U', 'M', 'F') 2842651959
('R', 'H', 'I', 'S', 'L', 'U', 'P', 'M', 'G') ('E', 'T', 'A', 'N', 'D', 'O', 'W', 'C', 'F') 2842486579
('O', 'H', 'A', 'S', 'M', 'F', 'G', 'C', 'P') ('T', 'R', 'I', 'N', 'D', 'E', 'U', 'L', 'W') 2842407505
('S', 'H', 'A', 'R', 'M', 'U', 'W', 'C', 'G') ('E', 'T', 'I', 'N', 'D', 'O', 'P', 'L', 'F') 2842256360
('O', 'H', 'A', 'S', 'L', 'U', 'W', 'G', 'P') ('T', 'I', 'R', 'E', 'D', 'N', 'M', 'C', 'F') 2842165333
('O', 'S', 'A', 'R', 'F', 'U', 'P', 'M', 'G') ('I', 'T', 'H', 'E', 'D', 'N', 'L', 'C', 'W') 2842031503
('I', 'O', 'H', 'A', 'G', 'M', 'F', 'W', 'U') ('E', 'N', 'S', 'T', 'R', 'D', 'C', 'L', 'P') 2841759681
('R', 'H', 'I', 'S', 'M', 'U', 'W', 'C', 'F') ('E', 'T', 'A', 'N', 'D', 'O', 'G', 'L', 'P') 2841576430
('R', 'N', 'S', 'H', 'L', 'G', 'C', 'U', 'F') ('I', 'A', 'T', 'E', 'O', 'D', 'M', 'P', 'W') 2841547963
('S', 'H', 'O', 'N', 'D', 'G', 'W', 'F', 'P') ('A', 'T', 'E', 'R', 'M', 'I', 'U', 'L', 'C') 2841547005
('S', 'H', 'O', 'R', 'U', 'P', 'C', 'L', 'M') ('E', 'T', 'I', 'N', 'D', 'A', 'G', 'F', 'W') 2841391349
('O', 'I', 'H', 'A', 'U', 'M', 'W', 'F', 'P') ('T', 'S', 'E', 'R', 'D', 'C', 'G', 'N', 'L') 2841275655
('A', 'H', 'I', 'S', 'L', 'P', 'W', 'G', 'F') ('T', 'O', 'R', 'E', 'D', 'N', 'M', 'U', 'C') 2841228694
('O', 'R', 'I', 'S', 'M', 'U', 'W', 'G', 'P') ('A', 'T', 'H', 'E', 'D', 'N', 'L', 'C', 'F') 2841226619
('S', 'H', 'O', 'R', 'U', 'P', 'G', 'D', 'M') ('A', 'T', 'I', 'N', 'C', 'E', 'W', 'L', 'F') 2841121587
('H', 'S', 'I', 'N', 'G', 'U', 'P', 'M', 'W') ('A', 'T', 'E', 'R', 'L', 'O', 'F', 'D', 'C') 2841053854
('I', 'H', 'O', 'R', 'F', 'C', 'P', 'L', 'M') ('A', 'E', 'S', 'T', 'U', 'N', 'W', 'D', 'G') 2840789445
('O', 'H', 'A', 'R', 'L', 'F', 'G', 'M', 'W') ('T', 'S', 'I', 'N', 'D', 'E', 'U', 'C', 'P') 2840746197
('O', 'H', 'I', 'S', 'L', 'P', 'W', 'M', 'G') ('T', 'A', 'R', 'E', 'D', 'N', 'C', 'U', 'F') 2840705021
('H', 'I', 'O', 'R', 'U', 'D', 'G', 'F', 'M') ('E', 'A', 'S', 'T', 'C', 'N', 'P', 'L', 'W') 2840446813
('H', 'S', 'I', 'N', 'G', 'U', 'W', 'F', 'P') ('A', 'T', 'E', 'R', 'L', 'O', 'M', 'D', 'C') 2840387959
('O', 'H', 'I', 'S', 'F', 'U', 'W', 'D', 'M') ('T', 'A', 'R', 'E', 'C', 'N', 'L', 'P', 'G') 2840329681
('S', 'H', 'A', 'N', 'M', 'G', 'F', 'W', 'P') ('I', 'T', 'E', 'R', 'D', 'O', 'U', 'L', 'C') 2840217094
('A', 'H', 'I', 'S', 'M', 'U', 'W', 'F', 'G') ('N', 'T', 'E', 'R', 'D', 'O', 'P', 'L', 'C') 2840174872
('H', 'O', 'I', 'N', 'G', 'U', 'P', 'M', 'F') ('T', 'S', 'E', 'R', 'D', 'A', 'W', 'C', 'L') 2840103346
('O', 'H', 'I', 'S', 'F', 'U', 'P', 'L', 'G') ('T', 'A', 'R', 'E', 'D', 'N', 'M', 'C', 'W') 2840021159
('R', 'H', 'N', 'S', 'U', 'L', 'W', 'C', 'P') ('I', 'E', 'A', 'T', 'F', 'O', 'G', 'D', 'M') 2839979437
